ad_set,ad,topic,variant,primary_text_with_footer
AS_CreditCard_NW,CC_Lawsuit,Sued over a card,Default,"Sued by a credit card company? The clock is already ticking. Miss the deadline to respond and they can win by default. Our attorneys can file your answer and make the creditor prove they own the debt and the amount. If they can't, your case could be dismissed.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Lawsuit,Sued over a card,Fight,"Being sued by a credit card company? They have lawyers who do this every day, and a default judgment is their easy win. Our attorneys can file your answer and force them to prove they even own the debt. Make them earn it instead of handing it to them.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Lawsuit,Sued over a card,Reassurance,"Did a credit card lawsuit just land in your hands? You are not the first to face this, and it is not as hopeless as it feels right now. Our attorneys can take it from here, file your response, and stand between you and the creditor. You could get through this.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Lawsuit,Sued over a card,Affordability,"Sued over a credit card and worried you can't afford a lawyer? Your defense is a flat monthly fee, not a big upfront retainer. Our attorneys can file your answer and make the creditor prove the debt is valid. Serious defense, at a price that fits your budget.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Lawsuit,Sued over a card,Fresh Start,"What if this credit card lawsuit didn't have to hang over your year? Right now it colors everything. Our attorneys can answer the suit and challenge whether the debt holds up. You could put it behind you and move on.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Harassment,Collector harassment,Default,"Getting calls non-stop, at work, at dinner, on weekends? The pressure follows you and you dread your own phone. Our attorneys can send a cease-communication letter and pursue the collector for violations. The calls could stop, and they could owe you up to $1,000 per violation.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Harassment,Collector harassment,Fight,"Tired of collectors blowing up your phone? They count on you feeling powerless and picking up. Our attorneys can send a cease-communication letter and come after them for every violation. Turn their harassment into their problem.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Harassment,Collector harassment,Reassurance,"Dreading every time your phone rings? The constant calls wear anyone down, and you don't have to keep answering. Our attorneys can send a cease-communication letter so they deal with us, not you. You could finally get some quiet.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Harassment,Collector harassment,Affordability,"Want the calls to stop but worried about legal costs? For a flat monthly fee, our attorneys can step in, send a cease-communication letter, and pursue collectors for violations. Relief from the calls, at a price you can plan for.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Harassment,Collector harassment,Fresh Start,"What if your phone stopped being a source of dread? Right now the calls follow you everywhere. Our attorneys can send a cease-communication letter and pursue violations. The calls could stop, and you could get your day back.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Negotiation,Negotiate the balance,Default,"Buried under a credit card balance that keeps growing? Confusing interest and fees pile on, and you may not owe every dollar your creditors claim. Our attorneys can challenge whether the debt is valid and negotiate your balance down. You could pay less than what they say you owe.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Negotiation,Negotiate the balance,Fight,"Assuming you owe every dollar a creditor claims? That assumption is exactly what they bank on. Our attorneys can challenge whether the debt is even valid and push the balance down. Make them justify the number before you pay it.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Negotiation,Negotiate the balance,Reassurance,"Watching a balance climb faster than you can pay it? It is overwhelming, and you are not stuck with it. Our attorneys can review the debt, challenge what isn't valid, and negotiate on your behalf. You could owe less than you fear.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Negotiation,Negotiate the balance,Affordability,"Want to lower a credit card balance without paying a lawyer upfront? Our flat monthly fee covers the work. Our attorneys can challenge the debt's validity and negotiate your balance down. A path to paying less that you can actually afford.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_CreditCard_NW,CC_Negotiation,Negotiate the balance,Fresh Start,"What if that growing balance no longer ran your life? Right now the interest and fees keep piling on. Our attorneys can challenge the debt and negotiate it down. You could pay less and start getting ahead.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Collection_Lawsuit,Collection lawsuit,Default,"Sued by a debt collector? You usually have just 20 to 28 days to reply, and missing the window lets them win automatically and move to garnish your pay. Our attorneys can file your court answer and demand the collector prove they own the debt. Your case could be dismissed if they can't.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Collection_Lawsuit,Collection lawsuit,Fight,"A debt collector dragging you into court? They expect you to miss the deadline and hand them a default. Our attorneys can file your answer and demand they prove they own the debt. Don't give them an easy win.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Collection_Lawsuit,Collection lawsuit,Reassurance,"Just found out a collector is suing you? The short deadline is scary, but it is workable. Our attorneys can file your court answer in time and make them prove their claim. You could be in a far better spot than today.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Collection_Lawsuit,Collection lawsuit,Affordability,"Being sued by a collector and can't take on legal bills right now? Defense is a flat monthly fee. Our attorneys can file your answer and demand the collector prove the debt. Full representation, without a giant retainer.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Collection_Lawsuit,Collection lawsuit,Fresh Start,"What if this collection lawsuit didn't end in a judgment hanging over you? The 20-to-28-day window is closing. Our attorneys can answer the suit and challenge the debt. You could put it behind you.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Creditor_Suing,Creditor suing you,Default,"Is a creditor suing you? They have attorneys who do this every day, and standing alone feels stacked from the start. Our attorneys can step in, file your answer, and hold the creditor to their burden of proof. The case could end in a dismissal or a settlement you can live with.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Creditor_Suing,Creditor suing you,Fight,"A creditor taking you to court with their own legal team? Alone, the odds are stacked. Our attorneys can step in, file your answer, and hold them to their burden of proof. Even the fight before it is decided for you.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
